Application	Throughput
${application.name} (DMZ AU)	0.009
${application.name} (DMZ NZ)	0.0001
'CallNotify (AU)'	0
'CallNotify (NZ)'	0
/	0
Account Service prod_au	0.03
Account Service prod_nz	0.003
Account Service trsonline_dmzprod_au	0
Account Service trsonline_dmzprod_nz	0
account-order-summary-service (DMZ AU)	0
account-order-summary-service (DMZ NZ)	0
Actrol Website (AU)	28.4
Actrol Website CMS Legacy (AU)	0.0052
AD Integration Services (AU)	4
AD Integration Services (NZ)	4
application	0
Application Access Control (AU)	118
Application Access Control (DMZ AU)	4.37
Application Access Control (DMZ NZ)	0.68
Application Access Control (NZ)	5.4
approved-product-list-service (DMZ AU)	0.322
approved-product-list-service (DMZ NZ)	0.0371
AR Fuji Xerox Integration (AU)	0
AR Fuji Xerox Integration (NZ)	0
AR Internal Customer Statement Access (AU)	0.85
AR Internal Customer Statement Access (NZ)	0.0614
AR Payment Integration Service (DMZ AU)	0
AR Payment Integration Service (DMZ NZ)	0
AR Statement Integration Service (AU)	0
AR Statement Integration Service (NZ)	0
aroflo-punch-out-cart-app (AU)	0
aroflo-punch-out-cart-app (DMZ AU)	0.222
aroflo-punch-out-cart-app (DMZ NZ)	0.0043
aroflo-punch-out-cart-app (NZ)	0
Auth0 Authentication Integration Service (DMZ AU)	9.94
Auth0 Authentication Integration Service (DMZ NZ)	1.36
Bank Statement App prod_au	0
Bank Statement App prod_nz	0.0005
Bank Statement Service (AU)	0
Bank Statement Service (NZ)	0
Branch Dashboard Backend (AU)	0
Branch Dashboard Backend (NZ)	0
Branch Dashboard CO Service (AU)	5.94
Branch Dashboard CO Service (NZ)	0.394
Branch Delivery Area (AU)	0
Branch Delivery Area (NZ)	0
Branch Excess Stock (AU)	1.05
Branch Excess Stock (NZ)	0.0581
Branch Excess Stock Console (AU)	0
Branch Excess Stock Console (NZ)	0
Branch Excess Stock Service (AU)	4.48
Branch Excess Stock Service (NZ)	0.207
Branch Label Service (AU)	2.06
Branch Label Service (NZ)	2
Branch Service (AU)	0
Branch Service (DMZ AU)	0
Branch Service (DMZ NZ)	0
Branch Service (NZ)	0
Brand Asset Service (AU)	0
Brand Asset Service (DMZ AU)	0
Brand Asset Service (DMZ NZ)	0
Brand Asset Service (NZ)	0
Brand Service prod_au	0.001
Brand Service prod_nz	0.0009
Brand Service trsonline_dmzprod_au	0.0062
Brand Service trsonline_dmzprod_nz	0.0034
Business Unit Service (AU)	0.186
Business Unit Service (DMZ AU)	7
Business Unit Service (DMZ NZ)	0.351
Business Unit Service (NZ)	0.0916
Buying Guide Maintenance Application prod_au	0
Buying Guide Maintenance Application prod_nz	0
Buying Guide Quantity Break Service prod_au	0.0248
Buying Guide Quantity Break Service prod_nz	0.0007
Buying Guide Region Maintenance BFF (AU)	0.0327
Buying Guide Region Maintenance BFF (NZ)	0.0022
Buying Guide Service prod_au	0.0202
Buying Guide Service prod_nz	0.0066
Buying Guide Service trsonline_dmzprod_au	0.0001
Buying Guide Service trsonline_dmzprod_nz	0
Buying Guide Upload Application prod_au	0.0015
Buying Guide Upload Application prod_nz	0.0007
Buyins (AU)	186
Buyins (NZ)	9.49
Buyins Service (AU)	103
Buyins Service (DMZ AU)	1.55
Buyins Service (DMZ NZ)	0.0668
Buyins Service (NZ)	5.05
Cartage Service (AU)	22.6
Cartage Service (DMZ AU)	20.9
Cartage Service (DMZ NZ)	3.3
Cartage Service (NZ)	1.12
Centrally Managed Products Maintenance (AU)	0.0029
Centrally Managed Products Maintenance (NZ)	0
CodeToValue Service prod_au	1.6
CodeToValue Service prod_nz	0.135
CodeToValue Service trsonline_dmzprod_au	0
CodeToValue Service trsonline_dmzprod_nz	0
Company Services (AU)	13.6
Company Services (DMZ AU)	60.2
Company Services (DMZ NZ)	1.28
Company Services (NZ)	0.68
Container Prioritisation UI Service (AU)	0.612
Copy Quote (AU)	9.45
Copy Quote (NZ)	0.477
Core Order Service (AU)	4.99
Core Order Service (NZ)	0.804
Corporate Service (AU)	0.0002
Corporate Service (DMZ AU)	0
Corporate Service (DMZ NZ)	0
Corporate Service (NZ)	0.0001
Cost Service prod_au	0
Cost Service prod_nz	0
Courier Service (AU)	1.33
Courier Service (NZ)	0.0618
Cover Note Service (AU)	0.292
Cover Note Service (NZ)	0
Credit Account Sales Service prod_au	0.196
Credit Account Sales Service prod_nz	0.0149
Creditor Service prod_au	0
Creditor Service prod_nz	0
Customer Application Integration Services (AU)	11.6
Customer Application Integration Services (DMZ AU)	2.45
Customer Application Integration Services (DMZ NZ)	0.751
Customer Application Integration Services (NZ)	0.582
Customer Application Onboarding Gateway (DMZ AU)	0
Customer Application Onboarding Gateway (DMZ NZ)	0
Customer Application Onboarding Service (DMZ AU)	0
Customer Arctick Licence prod_au	0.0809
Customer Arctick Licence prod_nz	0
Customer Arctick Licence trsonline_dmzprod_au	0.0116
Customer Arctick Licence trsonline_dmzprod_nz	0
Customer Contacts (AU)	47.6
Customer Contacts (NZ)	1.95
Customer Dashboard (AU)	89.8
Customer Dashboard (NZ)	7.02
Customer Integration Notification (AU)	0
Customer Integration Notification (NZ)	0
Customer Invoicing Settings Service prod_au	0.0629
Customer Invoicing Settings Service prod_nz	0.005
Customer Maintenance Application prod_au	3.38
Customer Maintenance Application prod_nz	1.5
Customer Messages Service prod_au	28.5
Customer Messages Service prod_nz	1.63
Customer Messages Service trsonline_dmzprod_au	3.92
Customer Messages Service trsonline_dmzprod_nz	0.362
Customer Order Delivery Request (AU)	28
Customer Order Delivery Request Service (AU)	20.1
Customer Order Service (AU)	306
Customer Order Service (DMZ AU)	14.2
Customer Order Service (DMZ NZ)	0.89
Customer Order Service (NZ)	12.8
Customer Orders Entry (AU)	317
Customer Orders Entry (NZ)	16.1
Customer Pricing Settings Service prod_au	133
Customer Pricing Settings Service prod_nz	5.57
Customer Pricing Settings Service trsonline_dmzprod_au	56.7
Customer Pricing Settings Service trsonline_dmzprod_nz	2.63
Customer Python Service prod_au	135
Customer Python Service prod_nz	5.7
Customer Python Service trsonline_dmzprod_au	56.8
Customer Python Service trsonline_dmzprod_nz	2.62
Customer Search (AU)	136
Customer Search (NZ)	51.9
Customer Search (Training AU)	0
Customer Search Service (AU)	0.114
Customer Search Service (NZ)	0.0289
Customer Services (AU)	578
Customer Services (DMZ AU)	144
Customer Services (DMZ NZ)	15.2
Customer Services (NZ)	26.7
Customer Trading Restriction (AU)	88.4
Customer Trading Restriction (NZ)	72.8
Customer Transaction Requirements Service prod_au	0.0434
Customer Transaction Requirements Service prod_nz	0.0012
Customer Transaction Requirements Service trsonline_dmzprod_au	0
Customer Transaction Requirements Service trsonline_dmzprod_nz	0
Cycle Count Mobile UI Service (DMZ AU)	25.8
Cycle Count Mobile UI Service (DMZ NZ)	1.67
Cylinder Master Integration	0
Cylinder Master Integration (AU)	1
Cylinder Master UI Service (AU)	0.977
DC Delivery Schedule (AU)	0.105
DC Delivery Schedule (NZ)	0.0008
Debtor Journal Service prod_au	0
Debtor Journal Service prod_nz	0
Debtor Service prod_au	0.297
Debtor Service prod_nz	0.0256
Debtor Service trsonline_dmzprod_au	1.9
Debtor Service trsonline_dmzprod_nz	0.169
debtor-maintenance-application prod_au	0.0732
debtor-maintenance-application prod_nz	0.005
Delivery Label Printing Service (AU)	0.236
Delivery Master Data Service (AU)	0
Deposit Entry Backend (AU)	9.53
Deposit Entry Backend (NZ)	0.348
Diary Notes Service prod_au	54.1
Diary Notes Service prod_nz	2.82
Digital Asset Service prod_au	75.9
Digital Asset Service prod_nz	2.29
Digital Asset Service trsonline_dmzprod_au	300
Digital Asset Service trsonline_dmzprod_nz	14.1
Digital Product Details Widget Component	24
Digital User Details Service	189
DMS Deldetails Integration (AU)	1.71
DMS Delivery Management Integration (AU)	1.77
DMS Delivery Management System Jumpbox (AU)	0.415
DMS Delivery Master Data App (AU)	0.0079
DMS Delivery Master Data App (NZ)	0
DMS Delivery Master Data Service (AU)	12
DMS Delivery Master Data Service (NZ)	0.0003
DMS Delivery Order Details Query Service (AU)	2.16
DMS Delivery Order Query Details Service (NZ)	0
DMS Delivery Pick Confirmation (AU)	31.5
DMS Delivery Pick Confirmation (NZ)	0.0002
DMS Delivery Pick Service (AU)	9.4
DMS Delivery Query App (AU)	1.92
DMS Delivery Query App (NZ)	0.0264
DMS Delivery Query Gateway (AU)	0.474
DMS Delivery Query Gateway (DMZ AU)	22.9
DMS Delivery Query Gateway (DMZ NZ)	1.37
DMS Delivery Query Gateway (NZ)	0.0278
DMS Delivery Query Service (AU)	23.1
DMS Delivery Query Service (NZ)	0.0108
Document Services (AU)	23.1
Document Services (DMZ AU)	7.35
Document Services (DMZ NZ)	0.501
Document Services (NZ)	1.27
Email Service (AU)	4.31
Email Service (DMZ AU)	0.415
Email Service (DMZ NZ)	0.0288
Email Service (NZ)	0.241
Email Template Service (DMZ AU)	0.205
Email Template Service (DMZ NZ)	0.0137
email-order-connector-service (DMZ AU)	0.609
email-order-coordinator (DMZ AU)	0.0007
email-order-parse-service (DMZ AU)	0.189
Employee Orchestration prod_au	0.0603
Employee Orchestration prod_nz	0.0016
Employees Service prod_au	0.88
Employees Service prod_nz	0.0178
Employees Service trsonline_dmzprod_au	0
Employees Service trsonline_dmzprod_nz	0
enterprise-business-metrics-listener (AU)	24
enterprise-business-metrics-listener (DMZ AU)	120
enterprise-business-metrics-listener (DMZ NZ)	120
enterprise-business-metrics-listener (NZ)	24
enterprise-customer-auth-service (DMZ AU)	8.53
enterprise-customer-auth-service (DMZ NZ)	9.61
enterprise-customer-price-push-service (DMZ AU)	0
enterprise-customer-price-push-service (DMZ NZ)	0
enterprise-customer-special-reporting (DMZ AU)	0.0012
enterprise-customer-special-reporting (DMZ NZ)	0
enterprise-service-monitor (DMZ AU)	0
Excess Stock Rebalance (AU)	0.0914
Excess Stock Rebalance (NZ)	0.0021
Finance Service (AU)	0.129
Finance Service (NZ)	0.129
Forklift Check Data Import Service (DMZ AU)	0
Forklift Check Data Import Service (DMZ NZ)	0
Forklift Check Mobile UI Service (DMZ AU)	0
Forklift Check Mobile UI Service (DMZ NZ)	0
Forklift Check Service (DMZ AU)	0
Forklift Check Service (DMZ NZ)	0
Freight Forwarder Integration (AU)	0
Freight Forwarder Integration (NZ)	0
Gains Integration (AU)	0.0025
Geo Service (AU)	49.5
Geo Service (DMZ AU)	35.4
Geo Service (DMZ NZ)	0.685
Geo Service (NZ)	2.31
Group Account Service prod_au	0.482
Group Account Service prod_nz	0.0946
Group Account Service trsonline_dmzprod_au	0
Group Account Service trsonline_dmzprod_nz	0
HR Employee Service (AU)	7.85
HR Routes (AU)	0.11
Identity Cards Maintenance (AU)	0.0538
Identity Cards Maintenance (NZ)	0
Image Service (AU)	3.24
Image Service (DMZ AU)	5.07
Image Service (DMZ NZ)	0.335
Image Service (NZ)	0.279
integration-account-selection-application (AU)	0
integration-account-selection-application (DMZ AU)	0.0312
integration-account-selection-application (DMZ NZ)	0.0052
integration-account-selection-application (NZ)	0
Inter Branch Transfer Query Service (AU)	0.0111
Inter Branch Transfer Query Service (NZ)	0
Inter Branch Transfer Record Service (AU)	3.79
Inter Branch Transfer Record Service (NZ)	0.0918
Inventory Enquiry (AU)	0.118
Inventory Enquiry (NZ)	0
Inventory Events (AU)	0
Inventory Events (NZ)	0
Inventory Master Data Sync (AU)	0
Inventory Master Data Sync (NZ)	0
Inventory Metrics Service (AU)	0
Inventory Metrics Service (NZ)	0
Inventory Reservation (AU)	0
Inventory Reservation (NZ)	0
Inventory Reservation Service (AU)	0
Inventory Reservation Service (NZ)	0
Inventory Revaluation (AU)	0
Inventory Revaluation (NZ)	0
Inventory Services (AU)	133
Inventory Services (DMZ AU)	26.1
Inventory Services (DMZ NZ)	2.24
Inventory Services (NZ)	22
Invoice Data Feeder (AU)	0
Invoice Prepare To Send Service (AU)	7.56
Invoice Prepare To Send Service (NZ)	0.558
Invoice Search (AU)	0.0703
Invoice Search (DMZ PROD AU)	19.5
Invoice Search (DMZ PROD NZ)	9.61
Invoice Search (NZ)	0
Invoice Service (AU)	20.8
Invoice Service (DMZ AU)	20.6
Invoice Service (DMZ NZ)	1.29
Invoice Service (NZ)	0.987
Invoice Services (AU)	0
Invoice Services (NZ)	0
invoice-gateway (DMZ AU)	7.59
invoice-gateway (DMZ NZ)	9.53
invoice-push-service (AU)	0
invoice-push-service (NZ)	0
Item Tracking Service Charge (AU)	0.0001
Item Tracking System Service (AU)	116
Item Tracking System Service (DMZ AU)	0.723
Item Tracking UI Service (AU)	6.55
Jasper Report Service (AU)	0.269
Jasper Report Service (NZ)	0.0259
Landed Unit Cost (AU)	0.188
Landed Unit Cost (NZ)	0.0449
Location Service (AU)	0.0484
Location Service (DMZ AU)	0.0143
Location Service (DMZ NZ)	0.0084
Location Service (NZ)	0.0081
Logistics Production AU - Cylinder Master	0
maX AB Test Service (DMZ AU)	140
maX AB Test Service (DMZ NZ)	6.95
maX Accounts And QuickPay Application (DMZ AU)	3.98
maX Accounts And QuickPay Application (DMZ NZ)	0.993
maX Branch Quotes Application (DMZ AU)	3.73
maX Branch Quotes Application (DMZ NZ)	1.31
maX Checkout Application (DMZ AU)	24.6
maX Checkout Application (DMZ NZ)	3.76
maX Customer Identity Card Application (DMZ AU)	0.14
maX Customer Identity Card Application (DMZ NZ)	0
maX Dashboard Application (DMZ AU)	11.6
maX Dashboard Application (DMZ NZ)	2.17
maX Flexitrack Application (DMZ AU)	0
maX Flexitrak Application (DMZ AU)	0.465
maX Flexitrak Service (DMZ AU)	0.567
maX Invoice Search Application (DMZ AU)	14.8
maX Invoice Search Application (DMZ NZ)	2.22
maX Mini Cart Application (DMZ AU)	38.5
maX Mini Cart Application (DMZ NZ)	6.71
maX My Orders Application (DMZ AU)	0
maX My Orders Application (DMZ NZ)	0
maX My Quotes Application (DMZ AU)	3.56
maX My Quotes Application (DMZ NZ)	1.88
maX Order Query Service (DMZ AU)	18.3
maX Order Query Service (DMZ NZ)	1.32
maX Order Service (DMZ AU)	27.1
maX Order Service (DMZ NZ)	4.14
