Application	Throughput
maX Orders Application (DMZ AU)	3.17
maX Orders Application (DMZ NZ)	0.71
MaX Price File Frontend (DMZ AU)	0.763
maX Price File Frontend (DMZ NZ)	0.42
maX Product List Application (DMZ AU)	7.28
maX Product List Application (DMZ NZ)	5.06
maX Product List Service (DMZ AU)	42.6
maX Product List Service (DMZ NZ)	7.6
maX Quoting Tool Application (DMZ AU)	2.85
maX Quoting Tool Application (DMZ NZ)	1.09
maX Third Party Integration Application (DMZ AU)	0.219
maX Third Party Integration Application (DMZ NZ)	0.416
maX Trade Quotes Application (DMZ AU)	0
maX Trade Quotes Application (DMZ NZ)	0
maX Web Analytics Application (DMZ AU)	97.1
maX Web Analytics Application (DMZ NZ)	10.5
max-quoting-tool-service (DMZ AU)	3.14
max-quoting-tool-service (DMZ NZ)	0.726
Menu Maintenance prod_au	0.0036
Menu Maintenance prod_nz	0.0021
Menu Service prod_au	83.1
Menu Service prod_nz	5.01
Message Relay (AU)	0
Message Relay (NZ)	0
Metalflex Website (AU)	17.8
Metalflex Website CMS Legacy (AU)	0.0003
My Hot Water Website (AU)	9.08
MyAccount Rest Application (DMZ AU)	63.2
MyAccount Rest Application (DMZ NZ)	51.6
MYOB Customer Integration Service (DMZ AU)	0.0045
MYOB Customer Integration Service (DMZ NZ)	0.0001
MYOB Invoice Integration Service (AU)	0
MYOB Invoice Integration Service (NZ)	0
myob-invoice-integration (AU)	0
myob-invoice-integration (NZ)	0
NGP Branch Service (AU)	0.864
NGP Branch Service (NZ)	0.13
NGP Customer Service (AU)	1.16
NGP Customer Service (NZ)	0.179
Online Order Payment Service (AU)	0.0386
Online Order Payment Service (NZ)	0.0001
Online Order Release Service (AU)	3.18
Online Order Release Service (NZ)	1.06
Online Order Reminder (AU)	0
Online Order Reminder (NZ)	0
Online Orders Backend (AU)	27.2
Online Orders Backend (NZ)	2.13
Online Product Search Facade Service trsonline_dmzprod_au	204
Online Product Search Facade Service trsonline_dmzprod_nz	9.59
Order Service (AU)	3.54
Order Service (DMZ AU)	11.7
Order Service (DMZ NZ)	0.782
Order Service (NZ)	0.237
Organisation Service (AU)	0.102
Organisation Service (DMZ AU)	0.0017
Organisation Service (DMZ NZ)	0.0014
Organisation Service (NZ)	0.0092
organisation-structure-service prod_au	0.0394
organisation-structure-service prod_nz	0.0026
Other Stock On Hand (AU)	91
Other Stock On Hand (NZ)	4.04
Partner Message Services (AU)	4.94
Partner Message Services (NZ)	0.268
Phone Payment App prod_au	0.0153
Phone Payment App prod_nz	0.0001
Point Of Sales API Gateway (AU)	8.85
Point Of Sales API Gateway (NZ)	1.41
POS Order Payment Service (AU)	0
POS Order Payment Service (NZ)	0
POS Service (AU)	119
POS Service (NZ)	5.94
Preorder Service (AU)	5.42
Preorder Service (DMZ AU)	0
Preorder Service (DMZ NZ)	0
Preorder Service (NZ)	0.421
preorder-attachment-service (AU)	1.14
preorder-attachment-service (DMZ AU)	0.164
preorder-attachment-service (DMZ NZ)	0
preorder-attachment-service (NZ)	0.0538
preorder-gateway (DMZ AU)	0.233
preorder-gateway (DMZ NZ)	0
preorder-release-service (AU)	0
preorder-release-service (NZ)	0
Price File Generation (DMZ AU)	0.0016
Price File Generation (DMZ NZ)	0.0003
Price Likes Service prod_au	0.215
Price Likes Service prod_nz	0.0135
Price Likes Service trsonline_dmzprod_au	0
Price Likes Service trsonline_dmzprod_nz	0
Price Service (AU)	259
Price Service (DMZ AU)	0.159
Price Service (DMZ NZ)	0.0333
Price Service (NZ)	12
Price Service Python prod_au	488
Price Service Python prod_nz	23.9
Price Service Python trsonline_dmzprod_au	211
Price Service Python trsonline_dmzprod_nz	16
price-file-generation-trigger (DMZ AU)	0.0017
price-file-generation-trigger (DMZ NZ)	0.0003
price-gateway (DMZ AU)	0.0862
price-gateway (DMZ NZ)	0.0093
Printer Service prod_au	0
Printer Service prod_nz	0
Printing Service (AU)	3.92
Printing Service (NZ)	0.194
Product Asset Service (AU)	0
Product Asset Service (NZ)	0
Product Attribute Comparison Service (DMZ AU)	44.6
Product Attribute Comparison Service (DMZ NZ)	3.69
Product Attributes Service prod_au	0.0323
Product Attributes Service prod_nz	0.0125
Product Attributes Service training_au	0
Product Attributes Service training_nz	0
Product Branding BFF (AU)	0.023
Product Branding BFF (NZ)	0.0012
Product Comparison Application prod_au	0.0287
Product Comparison Application prod_nz	0.0002
Product Comparison Service prod_au	0.0273
Product Comparison Service prod_nz	0.0106
Product Details Service prod_au	531
Product Details Service prod_nz	25.2
Product Details Service trsonline_dmzprod_au	301
Product Details Service trsonline_dmzprod_nz	20.4
Product Extract Service Attribute Meta prod_au	0
Product Extract Service Attribute Meta prod_nz	0
Product Extract Service Attribute Values prod_au	0
Product Extract Service Attribute Values prod_nz	0
Product Extract Service BU BY Product prod_au	0
Product Extract Service BU BY Product prod_nz	0
Product Extract Service BU Rank prod_au	0
Product Extract Service BU Rank prod_nz	0
Product Extract Service CMP Delta prod_au	0
Product Extract Service CMP Delta prod_nz	0
Product Extract Service CMP Full prod_au	0
Product Extract Service CMP Full prod_nz	0
Product Extract Service Product Branch Exclusion prod_au	0
Product Extract Service Product Branch Exclusion prod_nz	0
Product Extract Service Product Group prod_au	3.21
Product Extract Service Product Group prod_nz	1.11
Product Extract Service Product Group Ref prod_au	1.19
Product Extract Service Product Group Ref prod_nz	1.05
Product Extract Service Product Group trsonline_dmzprod_au	58.5
Product Extract Service Product Group trsonline_dmzprod_nz	5.28
Product Extract Service Product Master prod_au	1.19
Product Extract Service Product Master prod_nz	1.05
Product Group Service prod_au	0.0157
Product Group Service prod_nz	0.0024
Product Group Service trsonline_dmzprod_au	313
Product Group Service trsonline_dmzprod_nz	6.35
Product Maintenance Tools Application prod_au	0.0007
Product Maintenance Tools Application prod_nz	0.0003
Product Query Backend (AU)	807
Product Query Backend (NZ)	41.7
Product Search (AU)	0.0245
Product Search (NZ)	0
Product Search Service (AU)	12
Product Search Service (DMZ AU)	311
Product Search Service (DMZ NZ)	36.3
Product Search Service (NZ)	12
Product Service (AU)	985
Product Service (DMZ AU)	370
Product Service (DMZ NZ)	29.7
Product Service (NZ)	54.6
Product Spare Part Application prod_au	0
Product Spare Part Application prod_nz	0
Product Spare Part prod_au	0.292
Product Spare Part prod_nz	0.288
Product spare part report and upload prod_au	0.0004
Product spare part report and upload prod_nz	0.0003
Product Spare Parts Service prod_au	0.0518
Product Spare Parts Service prod_nz	0.0047
Product Spare Parts Service trsonline_dmzprod_au	35.7
Product Spare Parts Service trsonline_dmzprod_nz	1.74
product-gateway (DMZ AU)	0.694
product-gateway (DMZ NZ)	0.021
Punch Out Integration (DMZ AU)	0
Punch Out Integration (DMZ NZ)	0
Punch-Out Cart Service (DMZ AU)	0.0932
Punch-Out Cart Service (DMZ NZ)	0.0013
Purchase Order Claims Service (AU)	0
Purchase Order Claims Service (NZ)	0
Purchase Order Receipt Events (AU)	0
Purchase Order Receipt Events (NZ)	0
Purchase Order Receipts Service (AU)	0
Purchase Order Receipts Service (NZ)	0
Purchase Order Service (AU)	4.29
Purchase Order Service (NZ)	1.9
Purchase Orders (AU)	6.49
Purchase Orders (NZ)	1.44
Quantity Break Application prod_au	0.0541
Quantity Break Application prod_nz	0.0015
QuickPay Application (DMZ AU)	2.29
QuickPay Application (DMZ NZ)	0.141
Quote Entry Backend (AU)	746
Quote Entry Backend (NZ)	36.7
Quote Event (AU)	0.0039
Quote Event (NZ)	0.0011
Quote Price File (AU)	39.7
Quote Price File (NZ)	36.2
Quote Release (AU)	87.1
Quote Release (NZ)	35.5
Quote Service (AU)	190
Quote Service (DMZ AU)	29
Quote Service (DMZ NZ)	26.1
Quote Service (NZ)	44.4
quote-gateway (DMZ AU)	0.0074
quote-gateway (DMZ NZ)	0
RDS Query (AU)	0.327
RDS Query (DMZ AU)	22.8
RDS Query (DMZ NZ)	1.38
RDS Query (NZ)	0.0408
RDS REST (AU)	470
RDS REST (DMZ AU)	427
RDS REST (DMZ NZ)	41.6
RDS REST (NZ)	38.6
RDS Service (DMZ AU)	5.56
RDS Service (DMZ NZ)	5.94
RDS System Service (AU)	7.08
RDS Vehicle Check UI Service (DMZ AU)	0
RDS Vehicle Check UI Service (DMZ NZ)	0
Rebate Service prod_au	0.0092
Rebate Service prod_nz	0.0047
rebate-maintenance prod_au	0.0053
rebate-maintenance prod_nz	0.0012
Reece Website CMS (AU)	82.5
Reece Website CMS (NZ)	4.92
Reece Website CMS Legacy (AU)	23.9
Reece Website CMS Legacy (NZ)	15.3
reece-connect-stateless-sftp-service (DMZ AU)	0
reece-connect-stateless-sftp-service (DMZ NZ)	0
Region Service (AU)	0.0124
Region Service (NZ)	0.0008
Replenishment Service (AU)	0.0001
Replenishment Service (NZ)	0.0001
Roofing Calculator (AU)	0.317
Roofing Calculator (NZ)	0
Sales Order Entry (AU)	0.0097
Sales Order Entry (NZ)	0.0002
Sales Order Event (AU)	0.0021
Sales Order Event (NZ)	0
Salespersons Service prod_au	0.0507
Salespersons Service prod_nz	0.0014
sap-price-service prod_au	4.58
sap-price-service prod_nz	0.398
sap-price-service trsonline_dmzprod_au	0.414
sap-price-service trsonline_dmzprod_nz	0.0122
Service Worker Backend (AU)	0
Service Worker Backend (NZ)	0
Shared Invoices profile	0
Site Address Service prod_au	0.015
Site Address Service prod_nz	0.0005
SMS Service (AU)	0
SMS Service (NZ)	0
Statement Service (AU)	3.69
Statement Service (DMZ AU)	3.02
Statement Service (DMZ NZ)	2.25
Statement Service (NZ)	2.09
Stock Revaluation (AU)	0
Stock Revaluation (NZ)	0
Stock Take Dashboard (AU)	4.09
Stock Take Dashboard (NZ)	0.222
Store Finder Service (DMZ AU)	21.8
Store Finder Service (DMZ NZ)	1.17
Storefinder UI service (DMZ AU)	2.31
Storefinder UI service (DMZ NZ)	0.0451
Suburb Service (AU)	76.5
Suburb Service (DMZ AU)	0.532
Suburb Service (DMZ NZ)	0.0411
Suburb Service (NZ)	3.86
Supplier EDI Integration (AU)	0.621
Supplier Service (AU)	218
Supplier Service (NZ)	9.86
Top Products Cache Builder Service (AU)	0
Top Products Cache Builder Service (NZ)	0
TRS App Access prod_au	0.0011
TRS App Access prod_nz	0.0005
TRS Menu prod_au	98.3
TRS Menu prod_nz	6.16
TRS Online Account Payment Service (AU)	0.0043
TRS Online Account Payment Service (DMZ AU)	3.76
TRS Online Account Payment Service (DMZ NZ)	0.376
TRS Online Account Payment Service (NZ)	0.0001
TRS online Audit Service (DMZ AU)	0
TRS online Audit Service (DMZ NZ)	0
TRS Online Components (DMZ AU)	53.6
TRS Online Components (DMZ NZ)	48.1
TRS Online Flexitrak Service (DMZ AU)	0
Trs Online Identity Application (DMZ AU)	34.1
Trs Online Identity Application (DMZ NZ)	7.65
TRS Online Invoice Service (DMZ AU)	7.68
TRS Online Invoice Service (DMZ NZ)	0.652
TRS Online Mobile Analytics Service (DMZ AU)	140
TRS Online Mobile Analytics Service (DMZ NZ)	6.96
TRS Online Mobile Analytics UI Service (DMZ AU)	80
TRS Online Mobile Analytics UI Service (DMZ NZ)	3.91
TRS Online Mobile Delivery Event Service (DMZ AU)	0
TRS Online Mobile Delivery Event Service (DMZ NZ)	0
TRS Online Mobile Flashing Designer UI Service (DMZ AU)	0.503
TRS Online Mobile Flashing Designer UI Service (DMZ NZ)	0.0005
TRS Online Mobile Flexitrak UI Service (DMZ AU)	0.284
TRS Online Mobile Notification Service (DMZ AU)	3.83
TRS Online Mobile Notification Service (DMZ NZ)	0.0706
TRS Online Mobile UI Service (DMZ AU)	157
TRS Online Mobile UI Service (DMZ NZ)	7.43
TRS Online NPS Service (DMZ AU)	0.0089
TRS Online NPS Service (DMZ NZ)	0
TRS Online Payment Application (DMZ AU)	0
TRS Online Payment Application (DMZ NZ)	0
TRS Online Payment Service (AU)	1.86
TRS Online Payment Service (DMZ AU)	5.19
TRS Online Payment Service (DMZ NZ)	0.246
TRS Online Payment Service (NZ)	0.0891
TRS Online Presentation Support Service (DMZ AU)	21.8
TRS Online Presentation Support Service (DMZ NZ)	3.7
TRS Online Pricing Widget Component	26.8
TRS Online Product Category Pages (DMZ AU)	0.573
TRS Online Product Category Pages (DMZ NZ)	0.0074
TRS Online Product Content Service (DMZ AU)	0.11
TRS Online Product Content Service (DMZ NZ)	0.0045
TRS Online Product ECommerce Control Service (DMZ AU)	29.2
TRS Online Product ECommerce Control Service (DMZ NZ)	0.13
TRS Online Product Pages Application (DMZ AU)	176
TRS Online Product Pages Application (DMZ NZ)	8.68
TRS Online Product Search Application (DMZ AU)	682
TRS Online Product Search Application (DMZ NZ)	34.7
TRS Online Product Service (DMZ AU)	394
TRS Online Product Service (DMZ NZ)	10.3
TRS Online Product UI Service (DMZ AU)	261
TRS Online Product UI Service (DMZ NZ)	10.2
TRS Online Retail Order (DMZ AU)	174
TRS Online Retail Quote (DMZ AU)	0.049
TRS Online SEO Service (DMZ AU)	3.79
TRS Online SEO Service (DMZ NZ)	0.937
TRS Online Shared Services (DMZ AU)	0
TRS Online Shared Services (DMZ NZ)	0
TRS Online User Management Application (DMZ AU)	2.2
TRS Online User Management Application (DMZ NZ)	0.811
TRS Online User Service (AU)	0.0195
TRS Online User Service (DMZ AU)	218
TRS Online User Service (DMZ NZ)	27.4
TRS Online User Service (NZ)	0.0018
TRS Online Wishlist Application (DMZ AU)	0.888
Units of Measurement BFF (AU)	0.0008
Units of Measurement BFF (NZ)	0.0006
Units of Measurement Service (AU)	0.0009
Units of Measurement Service (NZ)	0.0006
Users Service prod_au	0
Users Service prod_au (Go)	1560
Users Service prod_nz	0
Users Service prod_nz (Go)	115
Users Service trsonline_dmzprod_au	0
Users Service trsonline_dmzprod_nz	0
Voice Pick (AU)	2.01
Warehouse Integration (AU)	0.0027
Warehouse Management System Service (AU)	0.685
Warehouse Management System Service (NZ)	0.0001
Warehouse Management UI Service (AU)	0.0159
Webpush Notification Service (AU)	26.6
Webpush Notification Service (NZ)	2.02
WIPs Service prod_au	0.232
WIPs Service prod_nz	0.0035
xero-invoice-integration (AU)	0
xero-invoice-integration (NZ)	0
